rank,code,name,data_date,close,pct_change,score,rating,daily_trend,weekly_trend,trend_60m,data_confidence,conclusion
1,000333,美的集团,2026-08-26,86.39,-0.35,65.1,C,多头,强势多头,多头,high,多头/强势多头，60分钟多头；股票结构较强，目前优先等待回踩或突破确认。
2,600941,中国移动,2026-08-26,98.45,-0.41,64.4,C,多头,强势多头,多头,medium,多头/强势多头，60分钟多头；股票结构较强，目前优先等待回踩或突破确认。
3,601899,紫金矿业,2026-08-26,34.47,2.35,63.9,C,多头,多头,多头,medium,多头/多头，60分钟多头；股票结构较强，目前优先等待回踩或突破确认。
4,601318,中国平安,2026-08-26,56.13,2.04,63.7,C,多头,震荡,强势多头,high,多头/震荡，60分钟强势多头；已达到放量突破条件，但不适合无条件追涨。
5,600036,招商银行,2026-08-26,39.8,0.76,62.9,C,多头,多头,多头,medium,多头/多头，60分钟多头；股票结构较强，目前优先等待回踩或突破确认。
6,600030,中信证券,2026-08-26,27.77,2.28,58.9,D,震荡,强势多头,多头,medium,震荡/强势多头，60分钟多头；已进入条件化回踩观察区，仍需次日量价确认。
7,002648,卫星化学,2026-08-26,26.36,-0.75,58.5,D,多头,多头,空头,medium,多头/多头，60分钟空头；股票结构较强，目前优先等待回踩或突破确认。
8,002594,比亚迪,2026-08-26,92.09,0.8,58.5,D,多头,空头,多头,high,多头/空头，60分钟多头；股票结构较强，目前优先等待回踩或突破确认。
9,603228,景旺电子,2026-08-26,90.15,-0.97,58.3,D,多头,强势多头,空头,medium,多头/强势多头，60分钟空头；已进入条件化回踩观察区，仍需次日量价确认。
10,600900,长江电力,2026-08-26,28.24,0.11,58.1,D,偏空震荡,多头,多头,medium,偏空震荡/多头，60分钟多头；已进入条件化回踩观察区，仍需次日量价确认。
11,600690,海尔智家,2026-08-26,21.15,-0.38,56.9,D,多头,震荡,空头,medium,多头/震荡，60分钟空头；已进入条件化回踩观察区，仍需次日量价确认。
12,600487,亨通光电,2026-08-26,64.83,0.36,56.7,D,偏多震荡,偏空震荡,强势多头,medium,偏多震荡/偏空震荡，60分钟强势多头；目前只适合观察，等待结构改善。
